ИНДЕКСЫ  ПОТРЕБИТЕЛЬСКИХ  ЦЕН  ПО РЕСПУБЛИКЕ  БЕЛАРУСЬ;;;;;
(предыдущий месяц = 100);;;;;
;;;;;
;2 0 2 4  г о д;;;;
;январь;февраль;март;апрель;май
ТОВАРЫ И УСЛУГИ - всего;100,79;100,94;100,47;100,43;100,11
ПРОДУКТЫ ПИТАНИЯ, АЛКОГОЛЬНЫЕ И БЕЗАЛКОГОЛЬНЫЕ НАПИТКИ, ТАБАЧНЫЕ ИЗДЕЛИЯ;101,29;100,50;100,51;100,61;99,96
ПРОДУКТЫ ПИТАНИЯ И БЕЗАЛКОГОЛЬНЫЕ НАПИТКИ;100,97;100,35;100,44;100,58;99,82
МЯСО И МЯСОПРОДУКТЫ;100,31;100,10;100,43;100,35;100,52
говядина (кроме бескостного мяса);101,80;100,09;99,49;100,14;100,77
говядина бескостная;100,75;99,88;100,22;100,41;100,38
свинина (кроме бескостного мяса);100,24;99,88;99,88;100,55;100,72
свинина бескостная;100,08;98,87;99,80;100,75;101,06
фарш мясной;99,95;100,10;99,03;101,03;100,52
рагу, набор из свинины;99,84;99,50;100,95;101,11;99,91
субпродукты мясные пищевые (кроме субпродуктов из птицы);100,64;99,91;100,68;100,15;99,75
куры (цыплята, включая бройлеров);100,97;100,11;101,11;100,24;101,27
полуфабрикаты из мяса птицы;100,74;100,38;101,53;99,69;100,10
субпродукты из птицы;100,66;100,69;100,26;100,15;99,96
котлеты мясные;100,87;100,73;100,24;99,79;100,72
пельмени мясные;100,00;99,58;100,89;100,37;100,59
готовые изделия (вареные, жареные, фаршированные) из теста с мясной начинкой;100,72;99,99;100,47;100,72;100,27
готовые изделия (вареные, жареные, фаршированные, заливные) из мяса и субпродуктов;102,33;99,89;101,02;100,60;100,42
сало, грудинка;99,80;100,23;100,39;100,40;100,18
колбасные изделия и копчености;100,16;100,22;100,60;100,21;100,48
колбаса вареная высшего сорта;99,82;100,58;100,72;100,35;100,45
колбаса вареная первого, второго сорта и бессортовая ;101,17;100,28;100,27;100,05;100,36
колбаса полукопченая, варено-копченая;100,29;100,12;100,49;99,85;100,51
колбаса сырокопченая, сыровяленая;100,07;100,47;100,71;100,09;99,72
паштет, зельц, сальтисон;100,71;100,31;100,13;99,96;100,57
колбаса ливерная и кровяная;100,74;100,48;100,21;100,17;100,25
сосиски, сардельки;100,39;100,30;100,58;100,65;101,28
изделия из говядины, свинины вареные, варено-копченые: ветчина, буженина, окорок и прочие;100,07;99,43;100,61;100,16;100,57
консервы мясные;99,71;100,51;99,77;100,42;99,91
говядина тушеная консервированная;99,67;100,67;100,08;100,02;99,96
свинина тушеная консервированная;99,86;100,34;99,14;101,16;99,66
консервы мясные для детского и диетического питания;99,58;100,46;100,12;100,11;100,15
РЫБА И РЫБОПРОДУКТЫ (включая морепродукты);100,60;100,77;99,85;100,60;100,34
рыба живая;100,42;100,27;100,24;100,25;99,06
рыба мороженая неразделанная (тресковые, скумбриевые);101,66;100,08;99,90;101,16;101,64
рыба мороженая (филе и разделанная);98,95;101,38;98,62;100,62;99,45
рыба соленая и копченая (кроме сельди и рыбы деликатесной);100,46;99,24;100,24;101,07;100,38
рыба соленая  и  копченая деликатесная  (включая балычные рыбные изделия);100,32;100,77;100,07;99,51;99,39
икра лососевых рыб;103,63;100,22;98,27;99,83;99,02
другие виды икры рыб;99,94;100,03;100,62;100,16;99,35
сельдь соленая;100,74;102,01;100,76;101,34;102,06
морепродукты;101,31;101,25;99,42;100,14;100,22
крабовые палочки (крабовое мясо);100,91;100,41;100,02;99,75;99,97
полуфабрикаты рыбные (котлеты, рыбные палочки, фарш, бургеры);100,56;101,46;100,66;101,95;100,28
готовые изделия (вареные, жареные, фаршированные, заливные) из рыбы и морепродуктов;100,02;100,28;100,36;101,00;100,21
консервы рыбные;101,03;101,17;100,37;100,35;100,41
консервы рыбные в томатном соусе;99,36;99,90;99,62;100,16;100,78
консервы рыбные натуральные и с добавлением масла;99,61;99,90;99,85;100,42;101,17
пресервы рыбные (филе сельди в различных соусах и заливках);102,19;102,14;100,80;100,34;99,91
МОЛОКО И МОЛОЧНЫЕ ПРОДУКТЫ ;100,38;100,21;100,49;100,15;100,23
молоко цельное пастерилизованое, стерилизованное, ультрапастеризованное;100,62;100,31;100,55;99,76;100,40
кефир;100,31;99,97;100,62;100,30;100,12
сметана;100,21;100,24;100,53;100,74;100,16
творог 4% жирности и выше;100,32;99,68;100,87;100,48;100,33
творог до 4% жирности;99,84;99,59;100,51;100,33;100,05
йогурт;100,23;101,27;99,34;100,22;99,45
сырок глазированный ;101,10;100,75;100,91;99,51;100,94
творожный крем, десерт, пудинг, паста;100,39;100,49;100,13;99,60;100,13
полуфабрикаты из творога (вареники, блинчики, сырники);99,39;100,51;99,37;99,53;101,87
сухие молочные смеси для детского и диетического питания;100,52;100,05;101,85;100,17;100,52
молоко сгущенное с сахаром;100,74;99,16;99,09;99,49;99,86
МОРОЖЕНОЕ;100,52;101,30;100,20;99,47;100,91
СЫРЫ;99,90;100,61;100,07;100,23;100,58
сыр твердый, полутвердый;99,72;100,79;99,98;100,41;100,32
сыр мягкий;100,64;99,87;100,72;99,45;101,75
сыр плавленый;100,16;100,61;100,08;99,69;100,72
сыр рассольный;100,01;99,98;99,81;100,77;101,06
МАСЛО И ЖИРЫ;100,79;99,68;100,67;99,82;99,81
масло сливочное;100,77;100,27;100,43;100,59;100,15
масло растительное (без оливкового);100,81;98,40;100,87;98,40;99,08
масло оливковое;101,19;102,20;103,79;100,75;101,14
